x2	x1	p2	eigv1	eigv2
-1.900	-0.004	-0.033	-0.996	-1.649
-1.800	0.012	0.088	-1.016	-1.451
-1.700	0.028	0.185	-1.081	-1.213
-1.600	0.044	0.262	-1.063+0.154j	-1.063-0.154j
-1.500	0.060	0.323	-0.981+0.195j	-0.981-0.195j
-1.400	0.076	0.371	-0.902+0.199j	-0.902-0.199j
-1.300	0.092	0.407	-0.824+0.173j	-0.824-0.173j
-1.200	0.108	0.434	-0.749+0.099j	-0.749-0.099j
-1.100	0.124	0.453	-0.817	-0.536
-1.000	0.140	0.466	-0.846	-0.365
-0.900	0.156	0.474	-0.859	-0.216
-0.800	0.172	0.478	-0.865	-0.076
-0.700	0.188	0.478	-0.868	0.056
-0.600	0.204	0.476	-0.870	0.182
-0.500	0.220	0.471	-0.870	0.302
-0.400	0.236	0.465	-0.869	0.418
-0.300	0.252	0.457	-0.868	0.528
-0.200	0.268	0.448	-0.866	0.634
-0.100	0.284	0.439	-0.863	0.735
0.000	0.300	0.429	-0.860	0.831
0.100	0.316	0.418	-0.856	0.922
0.200	0.332	0.408	-0.852	1.009
0.300	0.348	0.397	-0.847	1.091
0.400	0.364	0.387	-0.842	1.168
0.500	0.380	0.376	-0.836	1.240
0.600	0.396	0.366	-0.829	1.306
0.700	0.412	0.356	-0.822	1.368
0.800	0.428	0.347	-0.815	1.424
0.900	0.444	0.338	-0.806	1.474
1.000	0.460	0.329	-0.797	1.517
1.100	0.476	0.320	-0.787	1.555
1.200	0.492	0.312	-0.775	1.586
1.300	0.508	0.305	-0.763	1.609
1.400	0.524	0.298	-0.748	1.624
1.500	0.540	0.291	-0.732	1.631
1.600	0.556	0.285	-0.714	1.629
1.700	0.572	0.279	-0.693	1.616
1.800	0.588	0.274	-0.670	1.591
1.900	0.604	0.269	-0.642	1.554
2.000	0.620	0.265	-0.609	1.501
2.100	0.636	0.261	-0.569	1.430
2.200	0.652	0.258	-0.519	1.337
2.300	0.668	0.256	-0.455	1.216
2.400	0.684	0.254	-0.369	1.057
2.500	0.700	0.253	-0.237	0.834
2.600	0.716	0.253	0.062	0.424
2.700	0.732	0.253	0.175+0.507j	0.175-0.507j
2.800	0.748	0.255	0.094+0.765j	0.094-0.765j
2.900	0.764	0.257	-0.005+0.976j	-0.005-0.976j
3.000	0.780	0.261	-0.124+1.166j	-0.124-1.166j
3.100	0.796	0.266	-0.268+1.343j	-0.268-1.343j
3.200	0.812	0.274	-0.442+1.510j	-0.442-1.510j
3.300	0.828	0.283	-0.657+1.664j	-0.657-1.664j
3.400	0.844	0.296	-0.922+1.800j	-0.922-1.800j
3.500	0.860	0.312	-1.257+1.903j	-1.257-1.903j
3.600	0.876	0.334	-1.687+1.941j	-1.687-1.941j
3.700	0.892	0.364	-2.254+1.840j	-2.254-1.840j
3.800	0.908	0.405	-3.029+1.344j	-3.029-1.344j
3.900	0.924	0.465	-5.752	-2.535
4.000	0.940	0.559	-9.652	-2.086
4.100	0.956	0.723	-15.866	-1.877
4.200	0.972	1.079	-28.930	-1.746
4.300	0.988	2.391	-76.587	-1.654
4.400	1.004	-6.813	256.730	-1.584
4.500	1.020	-1.295	56.727	-1.530
