x2|x1|p2|eigv1|eigv2
-1.900|-0.412|-0.975|-0.463|-3.661
-1.800|-0.390|-0.849|-0.463|-3.537
-1.700|-0.368|-0.737|-0.463|-3.412
-1.600|-0.347|-0.638|-0.463|-3.288
-1.500|-0.325|-0.550|-0.463|-3.164
-1.400|-0.303|-0.472|-0.463|-3.040
-1.300|-0.282|-0.403|-0.464|-2.916
-1.200|-0.260|-0.343|-0.464|-2.793
-1.100|-0.238|-0.289|-0.465|-2.669
-1.000|-0.217|-0.242|-0.465|-2.546
-0.900|-0.195|-0.201|-0.466|-2.422
-0.800|-0.173|-0.164|-0.467|-2.299
-0.700|-0.152|-0.133|-0.469|-2.176
-0.600|-0.130|-0.105|-0.470|-2.052
-0.500|-0.108|-0.081|-0.473|-1.928
-0.400|-0.087|-0.059|-0.476|-1.805
-0.300|-0.065|-0.041|-0.479|-1.680
-0.200|-0.043|-0.025|-0.484|-1.555
-0.100|-0.022|-0.012|-0.491|-1.429
0.000|0.000|0.000|-0.500|-1.300
0.100|0.022|0.010|-0.513|-1.168
0.200|0.043|0.019|-0.534|-1.028
0.300|0.065|0.026|-0.575|-0.870
0.400|0.087|0.032|-0.664+0.106j|-0.664-0.106j
0.500|0.108|0.037|-0.605+0.194j|-0.605-0.194j
0.600|0.130|0.041|-0.547+0.240j|-0.547-0.240j
0.700|0.152|0.044|-0.490+0.267j|-0.490-0.267j
0.800|0.173|0.047|-0.432+0.282j|-0.432-0.282j
0.900|0.195|0.049|-0.376+0.285j|-0.376-0.285j
1.000|0.217|0.051|-0.319+0.279j|-0.319-0.279j
1.100|0.238|0.052|-0.263+0.263j|-0.263-0.263j
1.200|0.260|0.053|-0.208+0.235j|-0.208-0.235j
1.300|0.282|0.053|-0.153+0.191j|-0.153-0.191j
1.400|0.303|0.054|-0.099+0.115j|-0.099-0.115j
1.500|0.325|0.054|-0.164|0.073
1.600|0.347|0.054|-0.205|0.220
1.700|0.368|0.053|-0.223|0.341
1.800|0.390|0.053|-0.231|0.452
1.900|0.412|0.052|-0.235|0.555
2.000|0.433|0.052|-0.235|0.652
2.100|0.455|0.051|-0.232|0.744
2.200|0.477|0.050|-0.226|0.831
2.300|0.498|0.050|-0.219|0.912
2.400|0.520|0.049|-0.209|0.987
2.500|0.542|0.049|-0.196|1.055
2.600|0.563|0.048|-0.181|1.116
2.700|0.585|0.047|-0.162|1.167
2.800|0.607|0.047|-0.139|1.207
2.900|0.628|0.047|-0.110|1.235
3.000|0.650|0.046|-0.075|1.246
3.100|0.672|0.046|-0.029|1.236
3.200|0.693|0.046|0.033|1.196
3.300|0.715|0.046|0.122|1.114
3.400|0.737|0.047|0.272|0.949
3.500|0.758|0.047|0.591+0.257j|0.591-0.257j
3.600|0.780|0.048|0.554+0.555j|0.554-0.555j
3.700|0.802|0.050|0.494+0.792j|0.494-0.792j
3.800|0.823|0.052|0.405+1.022j|0.405-1.022j
3.900|0.845|0.055|0.272+1.259j|0.272-1.259j
4.000|0.867|0.060|0.075+1.506j|0.075-1.506j
4.100|0.888|0.066|-0.224+1.762j|-0.224-1.762j
4.200|0.910|0.076|-0.698+2.001j|-0.698-2.001j
4.300|0.932|0.092|-1.514+2.104j|-1.514-2.104j
4.400|0.953|0.125|-3.147+1.079j|-3.147-1.079j
4.500|0.975|0.217|-13.775|-1.675
